identifiant GO	définition	occurence	pvalue
GO:0000006	F:high-affinity zinc transmembrane transporter activity	{'GO:0000006': 0}	1.0
GO:0000014	F:single-stranded DNA endodeoxyribonuclease activity	{'GO:0000006': 0}	1.0
GO:0000015	C:phosphopyruvate hydratase complex	{'GO:0000006': 0}	1.0
GO:0000018	P:regulation of DNA recombination	{'GO:0000006': 0}	1.0
GO:0000025	P:maltose catabolic process	{'GO:0000006': 0}	1.0
GO:0000027	P:ribosomal large subunit assembly	{'GO:0000006': 0}	1.0
GO:0000028	P:ribosomal small subunit assembly	{'GO:0000006': 0}	1.0
GO:0000030	F:mannosyltransferase activity	{'GO:0000006': 0}	1.0
GO:0000032	P:cell wall mannoprotein biosynthetic process	{'GO:0000006': 0}	1.0
GO:0000034	F:adenine deaminase activity	{'GO:0000006': 0}	1.0
GO:0000035	F:acyl binding	{'GO:0000006': 0}	1.0
GO:0000036	F:acyl carrier activity	{'GO:0000006': 0}	1.0
GO:0000049	F:tRNA binding	{'GO:0000006': 0}	1.0
GO:0000050	P:urea cycle	{'GO:0000006': 0}	1.0
GO:0000053	P:argininosuccinate metabolic process	{'GO:0000006': 0}	1.0
GO:0000062	F:fatty-acyl-CoA binding	{'GO:0000006': 0}	1.0
GO:0000096	P:sulfur amino acid metabolic process	{'GO:0000006': 0}	1.0
GO:0000097	P:sulfur amino acid biosynthetic process	{'GO:0000006': 0}	1.0
GO:0000099	F:sulfur amino acid transmembrane transporter activity	{'GO:0000006': 0}	1.0
GO:0000100	F:S-methylmethionine transmembrane transporter activity	{'GO:0000006': 0}	1.0
GO:0000101	P:sulfur amino acid transport	{'GO:0000006': 0}	1.0
GO:0000102	F:L-methionine secondary active transmembrane transporter activity	{'GO:0000006': 0}	1.0
GO:0000103	P:sulfate assimilation	{'GO:0000006': 0}	1.0
GO:0000104	F:succinate dehydrogenase activity	{'GO:0000006': 0}	1.0
GO:0000105	P:histidine biosynthetic process	{'GO:0000006': 0}	1.0
GO:0000107	F:imidazoleglycerol-phosphate synthase activity	{'GO:0000006': 0}	1.0
GO:0000150	F:recombinase activity	{'GO:0000006': 0}	1.0
GO:0000154	P:rRNA modification	{'GO:0000006': 0}	1.0
GO:0000155	F:phosphorelay sensor kinase activity	{'GO:0000006': 0}	1.0
GO:0000156	F:phosphorelay response regulator activity	{'GO:0000006': 0}	1.0
GO:0000160	P:phosphorelay signal transduction system	{'GO:0000006': 0}	1.0
GO:0000162	P:tryptophan biosynthetic process	{'GO:0000006': 0}	1.0
GO:0000166	F:nucleotide binding	{'GO:0000006': 0}	1.0
GO:0000175	F:3'-5'-exoribonuclease activity	{'GO:0000006': 0}	1.0
GO:0000179	F:rRNA (adenine-N6,N6-)-dimethyltransferase activity	{'GO:0000006': 0}	1.0
GO:0000210	F:NAD+ diphosphatase activity	{'GO:0000006': 0}	1.0
GO:0000215	F:tRNA 2'-phosphotransferase activity	{'GO:0000006': 0}	1.0
GO:0000256	P:allantoin catabolic process	{'GO:0000006': 0}	1.0
GO:0000270	P:peptidoglycan metabolic process	{'GO:0000006': 0}	1.0
GO:0000271	P:polysaccharide biosynthetic process	{'GO:0000006': 0}	1.0
GO:0000272	P:polysaccharide catabolic process	{'GO:0000006': 0}	1.0
GO:0000287	F:magnesium ion binding	{'GO:0000006': 0}	1.0
GO:0000302	P:response to reactive oxygen species	{'GO:0000006': 0}	1.0
GO:0000303	P:response to superoxide	{'GO:0000006': 0}	1.0
GO:0000309	F:nicotinamide-nucleotide adenylyltransferase activity	{'GO:0000006': 0}	1.0
GO:0000310	F:xanthine phosphoribosyltransferase activity	{'GO:0000006': 0}	1.0
GO:0000372	P:Group I intron splicing	{'GO:0000006': 0}	1.0
GO:0000400	F:four-way junction DNA binding	{'GO:0000006': 0}	1.0
