identifiant GO	k	K	n	N
GO:0005829	98	1026	177	3931
GO:0008676	1	1	177	3931
GO:0019294	1	4	177	3931
GO:0051289	4	58	177	3931
GO:0005887	5	360	177	3931
GO:0005886	20	1079	177	3931
GO:0015212	1	3	177	3931
GO:0005337	1	5	177	3931
GO:0015506	1	2	177	3931
GO:0015293	2	24	177	3931
GO:0015213	1	3	177	3931
GO:1901642	1	3	177	3931
GO:0015858	2	3	177	3931
GO:0005737	38	519	177	3931
GO:0032843	2	4	177	3931
GO:0008379	2	4	177	3931
GO:0045454	3	18	177	3931
GO:0034599	1	12	177	3931
GO:0006979	5	51	177	3931
GO:0003730	1	3	177	3931
GO:0003729	1	13	177	3931
GO:0033592	1	3	177	3931
GO:0034057	1	1	177	3931
GO:0071475	1	2	177	3931
GO:0006974	14	198	177	3931
GO:0007231	1	2	177	3931
GO:1902836	1	1	177	3931
GO:0010608	1	2	177	3931
GO:0044010	2	23	177	3931
GO:0031419	1	4	177	3931
GO:0008705	1	2	177	3931
GO:0008270	9	152	177	3931
GO:0050667	1	2	177	3931
GO:0009086	1	12	177	3931
GO:0032259	1	12	177	3931
GO:0035999	2	6	177	3931
GO:0005524	34	444	177	3931
GO:0046872	18	342	177	3931
GO:0051287	4	41	177	3931
GO:0003951	1	2	177	3931
GO:0019674	1	1	177	3931
GO:0006741	1	1	177	3931
GO:0004106	2	2	177	3931
GO:0070403	1	8	177	3931
GO:0008977	1	1	177	3931
GO:0004665	1	1	177	3931
GO:0046417	2	2	177	3931
GO:0009094	2	3	177	3931
GO:0055114	5	38	177	3931
GO:0006571	2	2	177	3931
GO:0043190	1	64	177	3931
GO:0030288	6	175	177	3931
GO:1900750	1	2	177	3931
GO:1904680	1	17	177	3931
GO:0061077	3	28	177	3931
GO:0006857	1	3	177	3931
GO:0015833	1	14	177	3931
GO:0015031	2	41	177	3931
GO:0009408	7	53	177	3931
GO:0042802	36	409	177	3931
GO:0000287	18	185	177	3931
GO:0004756	1	1	177	3931
GO:0016260	1	3	177	3931
GO:0070329	1	2	177	3931
GO:0098797	1	6	177	3931
GO:0016887	6	118	177	3931
GO:0140306	1	1	177	3931
GO:0022857	2	112	177	3931
GO:0044874	1	5	177	3931
GO:0042953	1	4	177	3931
GO:0089705	2	4	177	3931
GO:0055085	3	73	177	3931
GO:0004462	1	1	177	3931
GO:0016151	1	18	177	3931
GO:0019243	1	4	177	3931
GO:0009636	2	18	177	3931
GO:0071949	1	29	177	3931
GO:0052851	1	1	177	3931
GO:0050660	4	53	177	3931
GO:0010106	1	2	177	3931
GO:0071289	1	1	177	3931
GO:0033212	1	3	177	3931
GO:0015891	2	3	177	3931
GO:0033214	2	10	177	3931
GO:0008764	1	1	177	3931
GO:0007049	5	40	177	3931
GO:0051301	5	57	177	3931
GO:0071555	2	78	177	3931
GO:0009252	3	44	177	3931
GO:0008360	2	49	177	3931
GO:0016020	19	198	177	3931
GO:0016597	1	15	177	3931
GO:0050897	1	12	177	3931
