identifiant GO	définition	occurence	pvalue
GO:0005829	F:high-affinity zinc transmembrane transporter activity	98	1.0
GO:0008676	F:high-affinity zinc transmembrane transporter activity	1	0.991692091058437
GO:0019294	F:high-affinity zinc transmembrane transporter activity	1	0.9671779212871628
GO:0051289	F:high-affinity zinc transmembrane transporter activity	4	0.9986227302297547
GO:0005887	F:high-affinity zinc transmembrane transporter activity	5	0.8189707259555435
GO:0005886	F:high-affinity zinc transmembrane transporter activity	20	0.9993340506421349
GO:0015212	F:high-affinity zinc transmembrane transporter activity	1	0.9752816132193677
GO:0005337	F:high-affinity zinc transmembrane transporter activity	1	0.959141186295011
GO:0015506	F:high-affinity zinc transmembrane transporter activity	1	0.9834528167382462
GO:0015293	F:high-affinity zinc transmembrane transporter activity	2	0.9831985373874232
GO:0015213	F:high-affinity zinc transmembrane transporter activity	1	0.9752816132193677
GO:1901642	F:high-affinity zinc transmembrane transporter activity	1	0.9752816132193677
GO:0015858	F:high-affinity zinc transmembrane transporter activity	2	0.9997952237760034
GO:0005737	F:high-affinity zinc transmembrane transporter activity	38	1.0
GO:0032843	F:high-affinity zinc transmembrane transporter activity	2	0.9995926890159823
GO:0008379	F:high-affinity zinc transmembrane transporter activity	2	0.9995926890159823
GO:0045454	F:high-affinity zinc transmembrane transporter activity	3	0.9995803326781921
GO:0034599	F:high-affinity zinc transmembrane transporter activity	1	0.9047131876356549
GO:0006979	F:high-affinity zinc transmembrane transporter activity	5	0.9999355234633688
GO:0003730	F:high-affinity zinc transmembrane transporter activity	1	0.9752816132193677
GO:0003729	F:high-affinity zinc transmembrane transporter activity	1	0.897192676941459
GO:0033592	F:high-affinity zinc transmembrane transporter activity	1	0.9752816132193677
GO:0034057	F:high-affinity zinc transmembrane transporter activity	1	0.991692091058437
GO:0071475	F:high-affinity zinc transmembrane transporter activity	1	0.9834528167382462
GO:0006974	F:high-affinity zinc transmembrane transporter activity	14	0.9999999987960901
GO:0007231	F:high-affinity zinc transmembrane transporter activity	1	0.9834528167382462
GO:1902836	F:high-affinity zinc transmembrane transporter activity	1	0.991692091058437
GO:0010608	F:high-affinity zinc transmembrane transporter activity	1	0.9834528167382462
GO:0044010	F:high-affinity zinc transmembrane transporter activity	2	0.9845150338720959
GO:0031419	F:high-affinity zinc transmembrane transporter activity	1	0.9671779212871628
GO:0008705	F:high-affinity zinc transmembrane transporter activity	1	0.9834528167382462
GO:0008270	F:high-affinity zinc transmembrane transporter activity	9	0.9999947887447131
GO:0050667	F:high-affinity zinc transmembrane transporter activity	1	0.9834528167382462
GO:0009086	F:high-affinity zinc transmembrane transporter activity	1	0.9047131876356549
GO:0032259	F:high-affinity zinc transmembrane transporter activity	1	0.9047131876356549
GO:0035999	F:high-affinity zinc transmembrane transporter activity	2	0.998992827134029
GO:0005524	F:high-affinity zinc transmembrane transporter activity	34	1.0
GO:0046872	F:high-affinity zinc transmembrane transporter activity	18	0.9999999994098239
GO:0051287	F:high-affinity zinc transmembrane transporter activity	4	0.999633177865024
GO:0003951	F:high-affinity zinc transmembrane transporter activity	1	0.9834528167382462
GO:0019674	F:high-affinity zinc transmembrane transporter activity	1	0.991692091058437
GO:0006741	F:high-affinity zinc transmembrane transporter activity	1	0.991692091058437
GO:0004106	F:high-affinity zinc transmembrane transporter activity	2	0.9999313653786277
GO:0070403	F:high-affinity zinc transmembrane transporter activity	1	0.9354272442358911
GO:0008977	F:high-affinity zinc transmembrane transporter activity	1	0.991692091058437
GO:0004665	F:high-affinity zinc transmembrane transporter activity	1	0.991692091058437
GO:0046417	F:high-affinity zinc transmembrane transporter activity	2	0.9999313653786277
GO:0009094	F:high-affinity zinc transmembrane transporter activity	2	0.9997952237760034
GO:0055114	F:high-affinity zinc transmembrane transporter activity	5	0.9999849670471375
GO:0006571	F:high-affinity zinc transmembrane transporter activity	2	0.9999313653786277
GO:0043190	F:high-affinity zinc transmembrane transporter activity	1	0.5858324346663049
GO:0030288	F:high-affinity zinc transmembrane transporter activity	6	0.9965209226466024
GO:1900750	F:high-affinity zinc transmembrane transporter activity	1	0.9834528167382462
GO:1904680	F:high-affinity zinc transmembrane transporter activity	1	0.8677271919993096
GO:0061077	F:high-affinity zinc transmembrane transporter activity	3	0.9984148533131536
GO:0006857	F:high-affinity zinc transmembrane transporter activity	1	0.9752816132193677
GO:0015833	F:high-affinity zinc transmembrane transporter activity	1	0.8897343309045138
GO:0015031	F:high-affinity zinc transmembrane transporter activity	2	0.9544467264337426
GO:0009408	F:high-affinity zinc transmembrane transporter activity	7	0.999999729082801
GO:0042802	F:high-affinity zinc transmembrane transporter activity	36	1.0
GO:0000287	F:high-affinity zinc transmembrane transporter activity	18	0.9999999999999809
GO:0004756	F:high-affinity zinc transmembrane transporter activity	1	0.991692091058437
GO:0016260	F:high-affinity zinc transmembrane transporter activity	1	0.9752816132193677
GO:0070329	F:high-affinity zinc transmembrane transporter activity	1	0.9834528167382462
GO:0098797	F:high-affinity zinc transmembrane transporter activity	1	0.9511708581272074
GO:0016887	F:high-affinity zinc transmembrane transporter activity	6	0.9995385353804036
GO:0140306	F:high-affinity zinc transmembrane transporter activity	1	0.991692091058437
GO:0022857	F:high-affinity zinc transmembrane transporter activity	2	0.761495866436791
GO:0044874	F:high-affinity zinc transmembrane transporter activity	1	0.959141186295011
GO:0042953	F:high-affinity zinc transmembrane transporter activity	1	0.9671779212871628
GO:0089705	F:high-affinity zinc transmembrane transporter activity	2	0.9995926890159823
GO:0055085	F:high-affinity zinc transmembrane transporter activity	3	0.9770597506706268
GO:0004462	F:high-affinity zinc transmembrane transporter activity	1	0.991692091058437
GO:0016151	F:high-affinity zinc transmembrane transporter activity	1	0.8605124365979625
